datetime,variable
03/03/2019 00:00,5879.373978
03/03/2019 00:10,6270.15431
03/03/2019 00:20,6385.216629
03/03/2019 00:30,6579.99099
03/03/2019 00:40,6577.892978
03/03/2019 00:50,6620.635344
03/03/2019 01:00,6568.650264
03/03/2019 01:10,6554.905373
03/03/2019 01:20,6718.154463
03/03/2019 01:30,6549.74069
03/03/2019 01:40,6649.481731
03/03/2019 01:50,6664.70184
03/03/2019 02:00,6561.354038
03/03/2019 02:10,6535.909977
03/03/2019 02:20,6440.839662
03/03/2019 02:30,6444.874603
03/03/2019 02:40,6376.107859
03/03/2019 02:50,6309.763311
03/03/2019 03:00,6182.772724
03/03/2019 03:10,5905.989079
03/03/2019 03:20,5774.574324
03/03/2019 03:30,5985.52418
03/03/2019 03:40,5756.663308
03/03/2019 03:50,5800.053067
03/03/2019 04:00,5551.233158
03/03/2019 04:10,5451.31418
03/03/2019 04:20,5551.982195
03/03/2019 04:30,5267.646434
03/03/2019 04:40,5219.875464
03/03/2019 04:50,5184.981798
03/03/2019 05:00,5022.304297
03/03/2019 05:10,4899.853723
03/03/2019 05:20,4944.458672
03/03/2019 05:30,4501.536112
03/03/2019 05:40,4397.02526
03/03/2019 05:50,4268.018207
03/03/2019 06:00,4226.676208
03/03/2019 06:10,4125.230393
03/03/2019 06:20,3928.255386
03/03/2019 06:30,3792.127811
03/03/2019 06:40,3678.639969
03/03/2019 06:50,3699.110474
03/03/2019 07:00,3345.380966
03/03/2019 07:10,3149.736139
03/03/2019 07:20,3126.881689
03/03/2019 07:30,2849.416884
03/03/2019 07:40,2763.204449
03/03/2019 07:50,2375.95306
03/03/2019 08:00,2644.086487
03/03/2019 08:10,2390.564796
03/03/2019 08:20,2188.393203
03/03/2019 08:30,2188.912872
03/03/2019 08:40,1995.767968
03/03/2019 08:50,1769.884272
03/03/2019 09:00,1757.475218
03/03/2019 09:10,1665.822727
03/03/2019 09:20,1535.964842
03/03/2019 09:30,1649.189724
03/03/2019 09:40,1536.844354
03/03/2019 09:50,1456.945845
03/03/2019 10:00,1680.648968
03/03/2019 10:10,1487.733186
03/03/2019 10:20,1407.707646
03/03/2019 10:30,1394.426421
03/03/2019 10:40,1466.354173
03/03/2019 10:50,1463.832187
03/03/2019 11:00,1536.680828
03/03/2019 11:10,1540.687924
03/03/2019 11:20,1275.845098
03/03/2019 11:30,1263.901129
03/03/2019 11:40,1383.326171
03/03/2019 11:50,1579.960183
03/03/2019 12:00,1675.655266
03/03/2019 12:10,1451.57842
03/03/2019 12:20,1372.356409
03/03/2019 12:30,1543.545036
03/03/2019 12:40,1489.972571
03/03/2019 12:50,1379.942005
03/03/2019 13:00,1458.54956
03/03/2019 13:10,1509.140351
03/03/2019 13:20,1667.322323
03/03/2019 13:30,1595.438881
03/03/2019 13:40,1584.097909
03/03/2019 13:50,1554.151995
03/03/2019 14:00,1365.770566
